Start,Finish,Steps
10-Apr-2015 00:00,11-Apr-2015 00:00,8712.0
11-Apr-2015 00:00,12-Apr-2015 00:00,5726.0
12-Apr-2015 00:00,13-Apr-2015 00:00,6088.0
13-Apr-2015 00:00,14-Apr-2015 00:00,10523.0
14-Apr-2015 00:00,15-Apr-2015 00:00,9366.0
15-Apr-2015 00:00,16-Apr-2015 00:00,11559.0
16-Apr-2015 00:00,17-Apr-2015 00:00,12077.0
17-Apr-2015 00:00,18-Apr-2015 00:00,7557.0
18-Apr-2015 00:00,19-Apr-2015 00:00,11158.0
19-Apr-2015 00:00,20-Apr-2015 00:00,15457.0
20-Apr-2015 00:00,21-Apr-2015 00:00,10329.0
21-Apr-2015 00:00,22-Apr-2015 00:00,3162.0
22-Apr-2015 00:00,23-Apr-2015 00:00,5314.0
23-Apr-2015 00:00,24-Apr-2015 00:00,6056.0
24-Apr-2015 00:00,25-Apr-2015 00:00,9763.0
25-Apr-2015 00:00,26-Apr-2015 00:00,9309.0
26-Apr-2015 00:00,27-Apr-2015 00:00,4080.0
27-Apr-2015 00:00,28-Apr-2015 00:00,16950.0
28-Apr-2015 00:00,29-Apr-2015 00:00,10930.0
29-Apr-2015 00:00,30-Apr-2015 00:00,10190.0
30-Apr-2015 00:00,01-May-2015 00:00,5961.0
01-May-2015 00:00,02-May-2015 00:00,10207.0
02-May-2015 00:00,03-May-2015 00:00,11888.0
03-May-2015 00:00,04-May-2015 00:00,12286.0
04-May-2015 00:00,05-May-2015 00:00,8803.0
05-May-2015 00:00,06-May-2015 00:00,8665.0
06-May-2015 00:00,07-May-2015 00:00,6203.0
07-May-2015 00:00,08-May-2015 00:00,3855.0
08-May-2015 00:00,09-May-2015 00:00,3779.0
09-May-2015 00:00,10-May-2015 00:00,7352.0
10-May-2015 00:00,11-May-2015 00:00,5920.0
11-May-2015 00:00,12-May-2015 00:00,4455.0
12-May-2015 00:00,13-May-2015 00:00,12863.0
13-May-2015 00:00,14-May-2015 00:00,11020.0
14-May-2015 00:00,15-May-2015 00:00,4765.0
15-May-2015 00:00,16-May-2015 00:00,11314.0
16-May-2015 00:00,17-May-2015 00:00,15551.0
17-May-2015 00:00,18-May-2015 00:00,10527.0
18-May-2015 00:00,19-May-2015 00:00,4610.0
19-May-2015 00:00,20-May-2015 00:00,7312.0
20-May-2015 00:00,21-May-2015 00:00,6999.0
21-May-2015 00:00,22-May-2015 00:00,9426.0
22-May-2015 00:00,23-May-2015 00:00,5060.0
23-May-2015 00:00,24-May-2015 00:00,7237.0
24-May-2015 00:00,25-May-2015 00:00,9215.0
25-May-2015 00:00,26-May-2015 00:00,2661.0
26-May-2015 00:00,27-May-2015 00:00,4246.0
27-May-2015 00:00,28-May-2015 00:00,2547.0
28-May-2015 00:00,29-May-2015 00:00,3304.0
29-May-2015 00:00,30-May-2015 00:00,3314.0
30-May-2015 00:00,31-May-2015 00:00,4965.0
31-May-2015 00:00,01-Jun-2015 00:00,7196.0
01-Jun-2015 00:00,02-Jun-2015 00:00,11875.0
02-Jun-2015 00:00,03-Jun-2015 00:00,1188.0
03-Jun-2015 00:00,04-Jun-2015 00:00,962.0
04-Jun-2015 00:00,05-Jun-2015 00:00,2882.0
05-Jun-2015 00:00,06-Jun-2015 00:00,2957.0
06-Jun-2015 00:00,07-Jun-2015 00:00,5914.0
07-Jun-2015 00:00,08-Jun-2015 00:00,13.0
08-Jun-2015 00:00,09-Jun-2015 00:00,6366.0
09-Jun-2015 00:00,10-Jun-2015 00:00,7067.0
10-Jun-2015 00:00,11-Jun-2015 00:00,7193.0
11-Jun-2015 00:00,12-Jun-2015 00:00,4824.0
12-Jun-2015 00:00,13-Jun-2015 00:00,1474.0
13-Jun-2015 00:00,14-Jun-2015 00:00,1652.0
14-Jun-2015 00:00,15-Jun-2015 00:00,31.0
15-Jun-2015 00:00,16-Jun-2015 00:00,1367.0
16-Jun-2015 00:00,17-Jun-2015 00:00,1498.0
17-Jun-2015 00:00,18-Jun-2015 00:00,9274.0
18-Jun-2015 00:00,19-Jun-2015 00:00,7147.0
19-Jun-2015 00:00,20-Jun-2015 00:00,7273.0
20-Jun-2015 00:00,21-Jun-2015 00:00,3150.0
21-Jun-2015 00:00,22-Jun-2015 00:00,2990.0
